url,fuel_type,horsepower,MPG,seats,curb_weight,length,width,height,wheel_base,drivetrain,body_type
https://www.carvana.com/vehicle/3485912?refSource=srp,Gas,117,28,5,2496,161.6,66.7,60,98.4,FWD,hatchback
https://www.carvana.com/vehicle/3431903?refSource=srp,Gas,174,30,5,2937,177.9,70.8,56.3,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3524447?refSource=srp,Hybrid,95,54,5,3050,178.7,69.3,58.1,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3474818?refSource=srp,Gas,130,32,5,2573,160,67,60,99.6,FWD,hatchback
https://www.carvana.com/vehicle/3474559?refSource=srp,Hybrid,73,53,5,2500,157.3,66.7,56.9,100.4,FWD,hatchback
https://www.carvana.com/vehicle/3444222?refSource=srp,Electric,200,127,5,3563,164,69.5,62.8,102.4,FWD,hatchback
https://www.carvana.com/vehicle/3487862?refSource=srp,Gas,277,16,8,5473,210.7,81,75.8,120.9,RWD,suv
https://www.carvana.com/vehicle/3496632?refSource=srp,Hybrid,270,20,5,5100,188.4,73.9,73.5,118.4,4WD,suv
https://www.carvana.com/vehicle/3519439?refSource=srp,Gas,187,25,5,3444,182.3,73.4,65.6,108.5,FWD,suv
https://www.carvana.com/vehicle/3494286?refSource=srp,Gas,420,16,8,6068,226.7,94,79.6,130,2WD,suv
https://www.carvana.com/vehicle/3475082?refSource=srp,Gas,144,27,5,3300,171.2,70.7,61.6,103.9,FWD,suv
https://www.carvana.com/vehicle/3461106?refSource=srp,Gas,181,27,5,3298,180.5,85.6,66.1,106.7,FWD,suv
https://www.carvana.com/vehicle/3492035?refSource=srp,Gas,185,26,5,3358,179.4,71.6,64.7,103.1,FWD,suv
https://www.carvana.com/vehicle/3480303?refSource=srp,Gas,185,25,5,3501,179.4,71.6,65.1,103.1,AWD,suv
https://www.carvana.com/vehicle/3480040?refSource=srp,Gas,178,21,5,3502,178.1,81.8,66.3,105.9,FWD,suv
https://www.carvana.com/vehicle/3461162?refSource=srp,Gas,179,23,5,3526,178.1,81.8,66.3,105.9,FWD,suv
https://www.carvana.com/vehicle/3476046?refSource=srp,Gas,184,21,5,3655,182,73.2,65.7,106.3,FWD,suv
https://www.carvana.com/vehicle/3459242?refSource=srp,Gas,184,20,5,3655,182,73.2,65.7,106.3,FWD,suv
https://www.carvana.com/vehicle/3474957?refSource=srp,Gas,176,23,5,3455,183.5,72.6,65.9,104.7,FWD,suv
https://www.carvana.com/vehicle/3480477?refSource=srp,Gas,270,17,7,4045,188.4,75.2,68.1,109.8,FWD,suv
https://www.carvana.com/vehicle/3502198?refSource=srp,Gas,176,24,5,3465,179.9,72.6,67.1,104.7,FWD,suv
https://www.carvana.com/vehicle/3470517?refSource=srp,Gas,158,22,5,3133,173.8,69.2,65.5,103.7,FWD,suv
https://www.carvana.com/vehicle/3470172?refSource=srp,Gas,240,18,5,4685,189.8,84.8,69.3,114.8,RWD,suv
https://www.carvana.com/vehicle/3475156?refSource=srp,Gas,185,22,5,3305,178.3,71.6,64.7,103.1,FWD,suv
https://www.carvana.com/vehicle/3468056?refSource=srp,Gas,178,22,5,3515,178.1,81.8,66.3,105.9,FWD,suv
https://www.carvana.com/vehicle/3448352?refSource=srp,Flexible Fuel,173,17,7,4054,192.4,83.7,66.6,113.8,FWD,suv
https://www.carvana.com/vehicle/3463062?refSource=srp,Gas,277,15,7,5824,225.7,81.1,75.7,134.1,4WD,suv
https://www.carvana.com/vehicle/3501547?refSource=srp,Gas,176,24,5,3455,181.1,72.6,67.1,104.7,FWD,suv
https://www.carvana.com/vehicle/3491698?refSource=srp,Gas,280,19,7,4107,196.5,78.6,70.6,111,FWD,suv
https://www.carvana.com/vehicle/3470183?refSource=srp,Gas,270,18,8,4310,191.1,75.8,68.1,109.8,FWD,suv
https://www.carvana.com/vehicle/3498279?refSource=srp,Gas,187,17,7,3946,188.4,75.2,68.1,109.8,FWD,suv
https://www.carvana.com/vehicle/3443342?refSource=srp,Gas,184,19,5,3941,182,73.2,66.2,106.3,4WD,suv
https://www.carvana.com/vehicle/3451472?refSource=srp,Gas,176,24,5,3610,179.9,72.6,67.1,104.7,FWD,suv
https://www.carvana.com/vehicle/3417202?refSource=srp,Flexible Fuel,280,17,7,4457,198.3,78.9,70,112.6,FWD,suv
https://www.carvana.com/vehicle/3504371?refSource=srp,Gas,175,25,5,3580,176.2,72.8,64.8,105.1,FWD,suv
https://www.carvana.com/vehicle/3443186?refSource=srp,Gas,185,22,5,3529,178.3,71.6,65.1,103.1,AWD,suv
https://www.carvana.com/vehicle/3491832?refSource=srp,Gas,290,16,7,4534,197.1,90.2,70.4,112.6,FWD,suv
https://www.carvana.com/vehicle/3439963?refSource=srp,Gas,240,18,5,4052,184.2,87.5,67,111.2,FWD,suv
https://www.carvana.com/vehicle/3475470?refSource=srp,Gas,180,21,5,3590,183.1,73.2,65.7,106.6,FWD,suv
https://www.carvana.com/vehicle/3496763?refSource=srp,Gas,280,18,8,4284,194.5,78.6,69.8,111,AWD,suv
https://www.carvana.com/vehicle/3473370?refSource=srp,Gas,375,17,7,5623,210,93.4,76.4,122.5,4WD,suv
https://www.carvana.com/vehicle/3517324?refSource=srp,Gas,375,17,8,5443,210,93.4,76.6,122.5,RWD,suv
https://www.carvana.com/vehicle/3444843?refSource=srp,Hybrid,177,36,6,4065,189.4,74.8,66.7,110.6,AWD,suv
https://www.carvana.com/vehicle/3423010?refSource=srp,Flexible Fuel,310,13,8,5844,221.3,91.8,77.7,131,RWD,suv
https://www.carvana.com/vehicle/3481711?refSource=srp,Gas,147,27,5,2899,164,70.9,61.6,102.4,FWD,suv
https://www.carvana.com/vehicle/3489174?refSource=srp,Gas,185,21,5,3832,187.4,74.4,66.3,109.4,FWD,suv
https://www.carvana.com/vehicle/3386728?refSource=srp,Gas,180,21,5,3503,179.3,71.6,66.1,103.1,4WD,suv
https://www.carvana.com/vehicle/3468208?refSource=srp,Flexible Fuel,168,21,5,3542,178.1,81.8,66.3,105.9,FWD,suv
https://www.carvana.com/vehicle/3485196?refSource=srp,Gas,375,17,8,5692,210,93.4,76.4,122,4WD,suv
https://www.carvana.com/vehicle/3471362?refSource=srp,Flexible Fuel,240,17,5,4685,189.8,84.8,69.3,114.8,RWD,suv
https://www.carvana.com/vehicle/3477830?refSource=srp,Gas,147,27,5,2899,164,70.9,61.6,102.4,FWD,suv
https://www.carvana.com/vehicle/3495759?refSource=srp,Flexible Fuel,184,21,5,3187,166.6,79.6,66.5,101.2,FWD,suv
https://www.carvana.com/vehicle/3410445?refSource=srp,Gas,250,17,8,4295,191.4,78.5,73,109.2,FWD,suv
https://www.carvana.com/vehicle/3458623?refSource=srp,Gas,185,21,5,3832,187.4,74.4,66.3,109.4,FWD,suv
https://www.carvana.com/vehicle/3492172?refSource=srp,Gas,185,26,5,3457,179.4,71.6,64.7,103.1,FWD,suv
https://www.carvana.com/vehicle/3501706?refSource=srp,Flexible Fuel,240,16,6,4534,197.1,90.2,70.4,112.6,FWD,suv
https://www.carvana.com/vehicle/3447212?refSource=srp,Gas,290,18,7,4026,193.1,74.2,66.9,110.2,FWD,suv
https://www.carvana.com/vehicle/3463215?refSource=srp,Gas,185,26,5,3501,179.4,71.6,64.7,103.1,FWD,suv
https://www.carvana.com/vehicle/3376694?refSource=srp,Gas,181,27,5,3298,180.5,85.6,66.1,106.7,FWD,suv
https://www.carvana.com/vehicle/3477999?refSource=srp,Flexible Fuel,168,21,5,3552,178.1,81.8,66.3,105.9,FWD,suv
https://www.carvana.com/vehicle/3480180?refSource=srp,Gas,280,17,7,4443,198.7,90.2,70,112.6,FWD,suv
https://www.carvana.com/vehicle/3393954?refSource=srp,Gas,190,19,5,3459,184.6,74,66.1,106.3,FWD,suv
https://www.carvana.com/vehicle/3334300?refSource=srp,Gas,190,27,5,3397,180.6,73,66.1,104.7,FWD,suv
https://www.carvana.com/vehicle/3430451?refSource=srp,Gas,280,19,5,4237,190.5,78.6,72.2,111,AWD,suv
https://www.carvana.com/vehicle/3396480?refSource=srp,Gas,184,20,5,3655,182,73.2,65.7,106.3,FWD,suv
https://www.carvana.com/vehicle/3505024?refSource=srp,Gas,187,17,7,4045,188.4,75.2,68.1,109.8,FWD,suv
https://www.carvana.com/vehicle/3465839?refSource=srp,Gas,121,30,5,2738,159.1,69.7,61.6,99.2,FWD,suv
https://www.carvana.com/vehicle/3470882?refSource=srp,Gas,170,26,5,3274,183.1,72.6,65.4,107.3,FWD,suv
https://www.carvana.com/vehicle/3343117?refSource=srp,Gas,184,21,5,3679,182,73.2,65.7,106.3,FWD,suv
https://www.carvana.com/vehicle/3430454?refSource=srp,Gas,181,22,5,3596,176.4,73,64.4,105.1,FWD,suv
https://www.carvana.com/vehicle/3418183?refSource=srp,Gas,271,20,5,4250,183,74.9,67.8,107.1,4WD,suv
https://www.carvana.com/vehicle/3480355?refSource=srp,Gas,170,24,5,3512,183.1,72.6,65.4,107.3,AWD,suv
https://www.carvana.com/vehicle/3428726?refSource=srp,Flexible Fuel,290,16,7,4385,198.3,78.9,71,112.8,4WD,suv
https://www.carvana.com/vehicle/3496142?refSource=srp,Gas,285,17,4,3760,164.3,73.7,72.5,95.4,4WD,suv
https://www.carvana.com/vehicle/3307572?refSource=srp,Gas,270,22,5,4201,188.4,73.8,73.6,118.4,4WD,suv
https://www.carvana.com/vehicle/3424082?refSource=srp,Gas,176,20,5,3197,173.2,71.7,65.2,103.9,FWD,suv
https://www.carvana.com/vehicle/3423219?refSource=srp,Gas,164,23,5,3439,176.2,72.8,64.8,105.1,FWD,suv
https://www.carvana.com/vehicle/3318814?refSource=srp,Gas,240,19,5,4303,187.4,74.4,66.5,109.4,AWD,suv
https://www.carvana.com/vehicle/3431155?refSource=srp,Gas,181,22,5,3596,176.4,73,64.4,105.1,FWD,suv
https://www.carvana.com/vehicle/3465913?refSource=srp,Gas,270,17,5,4805,190.7,75.8,71.5,109.8,4WD,suv
https://www.carvana.com/vehicle/3482694?refSource=srp,Gas,270,18,7,4354,191.1,75.8,68.1,109.8,FWD,suv
https://www.carvana.com/vehicle/3458386?refSource=srp,Gas,280,17,7,4385,198.7,90.2,70,112.6,FWD,suv
https://www.carvana.com/vehicle/3495868?refSource=srp,Gas,240,18,5,4754,189.8,84.8,69.3,114.8,RWD,suv
